,State Code,County Code,Tract Code,Tract Income Level,Distressed or Underserved Tract,Tract Median Family Income %,2023 FFIEC Est.MSA/MD non- MSA/MD Median Family Income,2023 Est. Tract Median Family Income,2020 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units
202,06,059,0524.33,Middle,No,90.92,"$127,800","$116,196","$96,787",15465,74.52,11524,1260,2269
203,06,059,0524.34,Upper,No,146.20,"$127,800","$186,844","$155,634",7094,70.68,5014,1203,1919
204,06,059,0524.35,Middle,No,91.84,"$127,800","$117,372","$97,768",6906,67.49,4661,852,1220
205,06,059,0524.36,Upper,No,165.88,"$127,800","$211,995","$176,581",6080,73.52,4470,1498,1683
206,06,059,0524.37,Upper,No,127.47,"$127,800","$162,907","$135,694",7679,79.03,6069,846,1307
207,06,059,0524.38,Upper,No,138.77,"$127,800","$177,348","$147,725",6784,76.99,5223,541,858
208,06,059,0524.39,Middle,No,112.80,"$127,800","$144,158","$120,078",9926,76.70,7613,1045,1934
209,06,059,0525.02,Middle,No,114.92,"$127,800","$146,868","$122,344",6132,60.47,3708,1598,1885
210,06,059,0525.05,Moderate,No,76.42,"$127,800","$97,665","$81,354",4973,66.10,3287,1065,1558
211,06,059,0525.06,Upper,No,130.87,"$127,800","$167,252","$139,313",2456,46.34,1138,703,868
212,06,059,0525.11,Upper,No,150.98,"$127,800","$192,952","$160,722",6066,48.45,2939,1643,2148
213,06,059,0525.13,Upper,No,124.90,"$127,800","$159,622","$132,961",5801,51.27,2974,1141,1580
214,06,059,0525.14,Middle,No,112.32,"$127,800","$143,545","$119,573",5288,53.95,2853,1006,1516
215,06,059,0525.18,Middle,No,86.51,"$127,800","$110,560","$92,093",7470,44.30,3309,9,110
216,06,059,0525.19,Middle,No,88.76,"$127,800","$113,435","$94,489",4217,56.98,2403,754,1138
217,06,059,0525.20,Middle,No,118.74,"$127,800","$151,750","$126,406",3539,47.47,1680,716,1188
218,06,059,0525.21,Middle,No,91.30,"$127,800","$116,681","$97,198",5216,62.67,3269,362,600
219,06,059,0525.22,Upper,No,125.02,"$127,800","$159,776","$133,093",4236,64.02,2712,596,1100
220,06,059,0525.23,Middle,No,110.04,"$127,800","$140,631","$117,143",4088,63.55,2598,636,938
221,06,059,0525.24,Middle,No,117.65,"$127,800","$150,357","$125,250",8020,65.21,5230,1280,1796
222,06,059,0525.26,Middle,No,113.60,"$127,800","$145,181","$120,938",4182,64.90,2714,1018,1294
223,06,059,0525.27,Upper,No,129.63,"$127,800","$165,667","$138,003",8244,67.99,5605,1917,2365
224,06,059,0525.28,Upper,No,154.87,"$127,800","$197,924","$164,861",3453,65.51,2262,863,1162
225,06,059,0525.29,Upper,No,177.31,"$127,800","$226,602","$188,750",3370,74.30,2504,636,851
226,06,059,0525.30,Middle,No,118.96,"$127,800","$152,031","$126,644",5630,67.41,3795,794,1194
227,06,059,0525.31,Upper,No,122.56,"$127,800","$156,632","$130,469",4217,60.61,2556,670,930
228,06,059,0525.32,Middle,No,115.17,"$127,800","$147,187","$122,604",6488,65.27,4235,1151,1306
229,06,059,0525.33,Upper,No,123.04,"$127,800","$157,245","$130,979",7268,66.99,4869,1743,2194
230,06,059,0525.34,Moderate,No,53.20,"$127,800","$67,990","$56,637",2299,62.16,1429,0,149
231,06,059,0525.35,Moderate,No,78.47,"$127,800","$100,285","$83,542",5603,72.16,4043,794,986
232,06,059,0626.05,Middle,No,94.72,"$127,800","$121,052","$100,833",3043,20.93,637,484,1363
233,06,059,0626.10,Upper,No,122.14,"$127,800","$156,095","$130,026",11867,52.89,6277,1114,303
234,06,059,0626.11,Moderate,No,56.73,"$127,800","$72,501","$60,391",4012,64.48,2587,338,973
235,06,059,0626.14,Upper,No,127.62,"$127,800","$163,098","$135,862",25232,74.02,18677,945,1408
236,06,059,0626.19,Upper,No,142.73,"$127,800","$182,409","$151,944",3856,19.06,735,1219,1981
237,06,059,0626.20,Upper,No,191.68,"$127,800","$244,967","$204,046",5031,19.08,960,1559,2703
238,06,059,0626.22,Moderate,No,54.98,"$127,800","$70,264","$58,534",4437,38.52,1709,1779,1391
239,06,059,0626.25,Moderate,No,62.47,"$127,800","$79,837","$66,500",4492,53.54,2405,1371,1451
240,06,059,0626.26,Moderate,No,71.79,"$127,800","$91,748","$76,429",2827,74.53,2107,181,485
241,06,059,0626.27,Moderate,No,69.41,"$127,800","$88,706","$73,889",3184,61.84,1969,176,731
242,06,059,0626.28,Middle,No,91.46,"$127,800","$116,886","$97,361",3495,60.17,2103,358,712
243,06,059,0626.29,Upper,No,131.51,"$127,800","$168,070","$140,000",2709,50.54,1369,692,839
244,06,059,0626.30,Middle,No,105.31,"$127,800","$134,586","$112,109",1667,39.89,665,447,661
245,06,059,0626.31,Upper,No,194.92,"$127,800","$249,108","$207,500",3198,41.65,1332,944,1147
246,06,059,0626.32,Upper,No,155.94,"$127,800","$199,291","$166,000",4208,21.41,901,1216,1899
247,06,059,0626.33,Upper,No,182.66,"$127,800","$233,439","$194,448",6623,42.16,2792,1641,1815
248,06,059,0626.34,Upper,No,146.15,"$127,800","$186,780","$155,580",5441,38.39,2089,1317,1590
249,06,059,0626.35,Upper,No,137.13,"$127,800","$175,252","$145,982",4102,42.08,1726,1265,1695
250,06,059,0626.36,Middle,No,109.90,"$127,800","$140,452","$117,000",3758,48.27,1814,578,862
251,06,059,0626.37,Middle,No,107.49,"$127,800","$137,372","$114,432",5875,43.91,2580,438,744
252,06,059,0626.38,Middle,No,119.39,"$127,800","$152,580","$127,097",6531,47.19,3082,1078,1451
253,06,059,0626.39,Upper,No,136.72,"$127,800","$174,728","$145,547",7917,39.37,3117,1900,2225
254,06,059,0626.40,Middle,No,103.58,"$127,800","$132,375","$110,268",3655,42.24,1544,795,922
255,06,059,0626.41,Middle,No,114.29,"$127,800","$146,063","$121,667",5399,53.66,2897,1205,1249
256,06,059,0626.42,Upper,No,176.25,"$127,800","$225,248","$187,625",2849,16.92,482,1216,1451
257,06,059,0626.43,Upper,No,216.24,"$127,800","$276,355","$230,197",7333,38.80,2845,2279,2889
258,06,059,0626.45,Upper,No,218.50,"$127,800","$279,243","$232,600",6033,31.59,1906,1716,2341
259,06,059,0626.46,Moderate,No,61.43,"$127,800","$78,508","$65,400",3718,28.00,1041,1864,1538
260,06,059,0626.47,Moderate,No,75.15,"$127,800","$96,042","$80,000",4863,42.38,2061,1132,1313
261,06,059,0626.48,Moderate,No,63.47,"$127,800","$81,115","$67,566",3181,30.62,974,1277,1252
262,06,059,0626.49,Moderate,No,75.27,"$127,800","$96,195","$80,132",3562,33.52,1194,1015,809
263,06,059,0626.50,Upper,No,138.42,"$127,800","$176,901","$147,354",4776,47.55,2271,1232,1571
264,06,059,0626.51,Upper,No,120.58,"$127,800","$154,101","$128,359",2879,54.36,1565,427,1111
265,06,059,0626.52,Middle,No,98.19,"$127,800","$125,487","$104,531",4875,47.45,2313,1477,1890
266,06,059,0626.53,Upper,No,120.90,"$127,800","$154,510","$128,704",6694,56.08,3754,574,1265
267,06,059,0626.54,Upper,No,155.38,"$127,800","$198,576","$165,404",6785,61.86,4197,986,2332
268,06,059,0626.55,Upper,No,234.85,"$127,800","$300,138","$250,001",5156,52.87,2726,1096,1761
269,06,059,0626.56,Upper,No,202.12,"$127,800","$258,309","$215,166",3449,16.53,570,1065,1733
270,06,059,0626.57,Upper,No,234.85,"$127,800","$300,138","$250,001",2618,32.39,848,359,462
271,06,059,0626.58,Upper,No,163.67,"$127,800","$209,170","$174,234",5410,21.52,1164,1163,1412
272,06,059,0627.01,Upper,No,202.64,"$127,800","$258,974","$215,714",2667,14.17,378,922,1472
273,06,059,0627.02,Upper,No,161.54,"$127,800","$206,448","$171,964",4515,18.16,820,1062,2296
274,06,059,0628.00,Upper,No,223.63,"$127,800","$285,799","$238,060",3806,16.61,632,766,2697
275,06,059,0629.00,Upper,No,186.00,"$127,800","$237,708","$198,000",1716,12.53,215,694,931
276,06,059,0630.04,Upper,No,130.21,"$127,800","$166,408","$138,614",6202,23.04,1429,1304,2024
277,06,059,0630.05,Upper,No,149.12,"$127,800","$190,575","$158,750",1447,16.10,233,206,505
278,06,059,0630.06,Upper,No,146.44,"$127,800","$187,150","$155,893",2490,12.97,323,767,1938
279,06,059,0630.07,Upper,No,161.91,"$127,800","$206,921","$172,361",6699,25.05,1678,1623,1949
280,06,059,0630.08,Upper,No,179.80,"$127,800","$229,784","$191,405",2408,21.64,521,180,241
281,06,059,0630.09,Upper,No,194.92,"$127,800","$249,108","$207,500",1767,25.47,450,645,722
282,06,059,0630.10,Upper,No,166.58,"$127,800","$212,889","$177,332",6698,23.40,1567,1241,1599
283,06,059,0631.01,Middle,No,93.77,"$127,800","$119,838","$99,821",2935,43.58,1279,458,632
284,06,059,0631.02,Middle,No,104.61,"$127,800","$133,692","$111,369",6932,30.18,2092,1457,2162
285,06,059,0631.03,Upper,No,208.48,"$127,800","$266,437","$221,932",2763,23.60,652,992,1246
286,06,059,0632.01,Middle,No,96.73,"$127,800","$123,621","$102,974",4006,28.88,1157,668,1253
287,06,059,0632.02,Upper,No,120.45,"$127,800","$153,935","$128,229",3693,28.97,1070,743,1286
288,06,059,0633.01,Middle,No,103.09,"$127,800","$131,749","$109,750",3001,27.49,825,513,1063
289,06,059,0633.02,Upper,No,142.27,"$127,800","$181,821","$151,458",4176,23.68,989,712,1430
290,06,059,0634.00,Upper,No,153.23,"$127,800","$195,828","$163,125",4776,17.23,823,1242,1943
291,06,059,0635.00,Middle,No,112.44,"$127,800","$143,698","$119,698",4938,19.79,977,1121,3827
292,06,059,0636.01,Middle,No,119.74,"$127,800","$153,028","$127,465",3794,38.69,1468,995,1471
293,06,059,0636.03,Middle,No,107.63,"$127,800","$137,551","$114,576",6450,31.16,2010,1312,1478
294,06,059,0636.04,Moderate,No,68.21,"$127,800","$87,172","$72,616",4061,56.83,2308,520,771
295,06,059,0636.05,Low,No,45.99,"$127,800","$58,775","$48,958",5630,77.14,4343,489,1091
296,06,059,0637.01,Moderate,No,54.78,"$127,800","$70,009","$58,320",5886,84.69,4985,245,826
297,06,059,0637.02,Moderate,No,53.96,"$127,800","$68,961","$57,444",6131,63.76,3909,343,939
298,06,059,0638.02,Middle,No,117.05,"$127,800","$149,590","$124,609",2934,36.09,1059,879,1074
299,06,059,0638.03,Middle,No,103.83,"$127,800","$132,695","$110,532",4353,43.03,1873,944,1345
300,06,059,0638.05,Upper,No,132.22,"$127,800","$168,977","$140,750",2458,35.03,861,703,893
301,06,059,0638.06,Middle,No,108.94,"$127,800","$139,225","$115,972",3943,39.84,1571,777,1291
302,06,059,0638.07,Moderate,No,63.80,"$127,800","$81,536","$67,917",4950,49.35,2443,337,661
303,06,059,0638.08,Moderate,No,51.11,"$127,800","$65,319","$54,413",5688,82.42,4688,374,986
304,06,059,0639.02,Middle,No,117.63,"$127,800","$150,331","$125,221",6881,56.94,3918,718,1157
305,06,059,0639.03,Middle,No,111.15,"$127,800","$142,050","$118,322",4159,60.66,2523,717,1082
306,06,059,0639.04,Middle,No,85.91,"$127,800","$109,793","$91,458",4661,61.19,2852,776,1267
307,06,059,0639.05,Middle,No,97.46,"$127,800","$124,554","$103,750",4349,37.92,1649,694,1034
308,06,059,0639.06,Middle,No,89.33,"$127,800","$114,164","$95,093",5947,64.76,3851,964,988
309,06,059,0639.08,Middle,No,84.73,"$127,800","$108,285","$90,201",5732,54.20,3107,662,1114
310,06,059,0639.09,Middle,No,92.76,"$127,800","$118,547","$98,750",3155,49.70,1568,14,105
311,06,059,0639.10,Middle,No,115.17,"$127,800","$147,187","$122,609",4356,52.71,2296,1010,1261
312,06,059,0740.03,Middle,No,80.24,"$127,800","$102,547","$85,417",3760,78.03,2934,308,533
313,06,059,0740.04,Middle,No,89.50,"$127,800","$114,381","$95,278",7395,84.33,6236,1217,1717
314,06,059,0740.05,Moderate,No,78.48,"$127,800","$100,297","$83,553",6733,91.64,6170,768,1281
315,06,059,0740.06,Moderate,No,65.60,"$127,800","$83,837","$69,836",5379,83.44,4488,553,527
316,06,059,0741.02,Middle,No,82.16,"$127,800","$105,000","$87,462",6278,96.07,6031,992,1095
317,06,059,0741.03,Middle,No,94.13,"$127,800","$120,298","$100,208",4570,96.21,4397,804,1134
318,06,059,0741.06,Moderate,No,66.24,"$127,800","$84,655","$70,518",6330,84.60,5355,986,1286
319,06,059,0741.07,Middle,No,94.66,"$127,800","$120,975","$100,774",5856,66.80,3912,687,804
320,06,059,0741.08,Moderate,No,77.38,"$127,800","$98,892","$82,375",4640,96.90,4496,605,943
321,06,059,0741.09,Moderate,No,75.38,"$127,800","$96,336","$80,250",3392,97.35,3302,324,660
322,06,059,0741.10,Middle,No,88.58,"$127,800","$113,205","$94,300",3438,85.14,2927,858,1012
323,06,059,0741.11,Middle,No,91.14,"$127,800","$116,477","$97,027",5277,87.25,4604,1020,1197
324,06,059,0742.00,Moderate,No,74.88,"$127,800","$95,697","$79,720",8608,97.71,8411,1132,1610
325,06,059,0743.00,Moderate,No,71.37,"$127,800","$91,211","$75,982",3972,96.95,3851,474,875
326,06,059,0744.03,Low,No,40.83,"$127,800","$52,181","$43,468",5389,98.89,5329,149,426
327,06,059,0744.05,Low,No,43.72,"$127,800","$55,874","$46,545",6091,93.63,5703,269,722
328,06,059,0744.06,Moderate,No,64.46,"$127,800","$82,380","$68,625",3789,94.46,3579,323,546
329,06,059,0744.07,Low,No,48.87,"$127,800","$62,456","$52,027",6024,92.93,5598,411,821
330,06,059,0744.08,Moderate,No,53.15,"$127,800","$67,926","$56,579",5453,90.94,4959,362,588
331,06,059,0745.01,Low,No,39.50,"$127,800","$50,481","$42,052",5790,98.58,5708,281,591
332,06,059,0745.02,Moderate,No,52.79,"$127,800","$67,466","$56,196",5210,97.74,5092,745,1217
333,06,059,0746.01,Middle,No,91.74,"$127,800","$117,244","$97,662",7471,94.69,7074,921,1807
334,06,059,0746.02,Moderate,No,56.12,"$127,800","$71,721","$59,750",8002,97.06,7767,825,1391
335,06,059,0747.01,Moderate,No,64.60,"$127,800","$82,559","$68,772",7611,98.63,7507,893,1261
336,06,059,0747.02,Middle,No,86.50,"$127,800","$110,547","$92,083",5775,97.51,5631,697,1063
337,06,059,0748.01,Moderate,No,58.14,"$127,800","$74,303","$61,895",5313,97.76,5194,588,997
338,06,059,0748.02,Moderate,No,50.42,"$127,800","$64,437","$53,681",6348,98.06,6225,635,1125
339,06,059,0748.03,Moderate,No,77.58,"$127,800","$99,147","$82,589",8526,96.50,8228,1185,1805
340,06,059,0748.05,Low,No,46.64,"$127,800","$59,606","$49,653",4783,98.64,4718,209,408
341,06,059,0748.06,Moderate,No,51.52,"$127,800","$65,843","$54,851",4765,98.22,4680,465,678
342,06,059,0749.01,Moderate,No,50.68,"$127,800","$64,769","$53,950",8576,98.12,8415,500,1322
343,06,059,0749.02,Low,No,46.42,"$127,800","$59,325","$49,423",5850,98.14,5741,442,886
344,06,059,0750.02,Low,No,34.59,"$127,800","$44,206","$36,827",8236,91.33,7522,295,786
345,06,059,0750.03,Low,No,33.88,"$127,800","$43,299","$36,075",6493,96.46,6263,39,291
346,06,059,0750.04,Low,No,44.22,"$127,800","$56,513","$47,083",4765,95.34,4543,75,330
347,06,059,0751.00,Moderate,No,61.84,"$127,800","$79,032","$65,833",9883,83.20,8223,847,1429
348,06,059,0752.01,Moderate,No,51.58,"$127,800","$65,919","$54,912",5594,98.43,5506,642,1039
349,06,059,0752.02,Middle,No,85.30,"$127,800","$109,013","$90,809",5427,97.53,5293,771,1158
350,06,059,0753.01,Moderate,No,76.31,"$127,800","$97,524","$81,234",5512,83.40,4597,881,1067
351,06,059,0753.02,Moderate,No,73.09,"$127,800","$93,409","$77,813",4568,89.27,4078,640,915
352,06,059,0753.03,Upper,No,142.15,"$127,800","$181,668","$151,324",3357,54.78,1839,999,1104
353,06,059,0754.01,Middle,No,95.74,"$127,800","$122,356","$101,923",3859,67.74,2614,1173,1364
354,06,059,0754.03,Moderate,No,70.15,"$127,800","$89,652","$74,676",7707,79.63,6137,1518,1697
355,06,059,0754.04,Middle,No,90.75,"$127,800","$115,979","$96,607",6362,76.94,4895,1026,1532
356,06,059,0754.05,Moderate,No,73.42,"$127,800","$93,831","$78,158",3204,69.51,2227,514,710
357,06,059,0755.04,Middle,No,106.39,"$127,800","$135,966","$113,261",4103,50.65,2078,892,1308
358,06,059,0755.05,Middle,No,82.56,"$127,800","$105,512","$87,896",3763,65.11,2450,573,926
359,06,059,0755.06,Middle,No,113.01,"$127,800","$144,427","$120,305",3541,54.39,1926,924,1090
360,06,059,0755.07,Middle,No,83.99,"$127,800","$107,339","$89,417",5476,74.01,4053,426,1047
361,06,059,0755.12,Middle,No,80.02,"$127,800","$102,266","$85,186",3719,84.46,3141,386,578
362,06,059,0755.13,Moderate,No,72.80,"$127,800","$93,038","$77,500",5071,82.73,4195,509,931
363,06,059,0755.14,Moderate,No,57.24,"$127,800","$73,153","$60,938",3553,87.95,3125,232,506
364,06,059,0755.16,Middle,No,81.70,"$127,800","$104,413","$86,974",9045,62.18,5624,63,74
365,06,059,0755.17,Moderate,No,64.32,"$127,800","$82,201","$68,472",6809,89.28,6079,198,771
366,06,059,0755.18,Middle,No,114.19,"$127,800","$145,935","$121,557",9171,71.58,6565,2271,2372
367,06,059,0756.03,Upper,No,126.29,"$127,800","$161,399","$134,441",3880,41.16,1597,1049,1330
368,06,059,0756.04,Upper,No,155.76,"$127,800","$199,061","$165,813",7568,36.67,2775,2402,2507
369,06,059,0756.05,Upper,No,165.18,"$127,800","$211,100","$175,843",5748,41.89,2408,1700,2022
370,06,059,0756.06,Upper,No,228.52,"$127,800","$292,049","$243,269",6629,39.51,2619,1909,2262
371,06,059,0756.07,Upper,No,142.08,"$127,800","$181,578","$151,250",6484,55.85,3621,1400,1827
372,06,059,0757.01,Upper,No,121.31,"$127,800","$155,034","$129,137",7228,66.20,4785,1528,1797
373,06,059,0757.02,Upper,No,126.07,"$127,800","$161,117","$134,211",3363,40.50,1362,999,1095
374,06,059,0757.03,Upper,No,168.22,"$127,800","$214,985","$179,079",4135,36.08,1492,1279,1416
375,06,059,0758.05,Middle,No,94.54,"$127,800","$120,822","$100,643",4354,64.35,2802,649,1085
376,06,059,0758.06,Middle,No,82.13,"$127,800","$104,962","$87,430",6393,67.48,4314,861,1525
377,06,059,0758.07,Upper,No,122.34,"$127,800","$156,351","$130,238",4274,61.04,2609,817,1098
378,06,059,0758.08,Upper,No,145.52,"$127,800","$185,975","$154,911",3456,43.32,1497,953,1080
379,06,059,0758.09,Upper,No,193.97,"$127,800","$247,894","$206,490",3109,36.73,1142,1071,1137
380,06,059,0758.10,Upper,No,129.22,"$127,800","$165,143","$137,563",3045,39.38,1199,882,1017
381,06,059,0758.11,Moderate,No,74.36,"$127,800","$95,032","$79,167",3479,75.34,2621,520,722
382,06,059,0758.12,Moderate,No,76.41,"$127,800","$97,652","$81,341",6200,63.85,3959,1001,1440
383,06,059,0758.13,Upper,No,145.80,"$127,800","$186,332","$155,216",5269,53.58,2823,1428,1668
384,06,059,0758.14,Upper,No,160.20,"$127,800","$204,736","$170,536",3055,47.63,1455,959,997
385,06,059,0758.15,Middle,No,92.82,"$127,800","$118,624","$98,810",5261,59.84,3148,1114,1640
386,06,059,0758.16,Middle,No,99.86,"$127,800","$127,621","$106,308",3626,67.65,2453,548,894
387,06,059,0759.01,Middle,No,103.04,"$127,800","$131,685","$109,688",4356,53.99,2352,551,1432
388,06,059,0759.02,Moderate,No,63.30,"$127,800","$80,897","$67,389",6617,54.60,3613,669,1926
389,06,059,0760.01,Moderate,No,63.16,"$127,800","$80,718","$67,245",7901,70.65,5582,1290,1522
390,06,059,0760.02,Upper,No,138.36,"$127,800","$176,824","$147,292",1994,62.89,1254,136,183
391,06,059,0761.02,Moderate,No,60.18,"$127,800","$76,910","$64,063",8150,76.63,6245,172,648
392,06,059,0761.03,Moderate,No,60.98,"$127,800","$77,932","$64,922",9182,90.03,8267,780,1865
393,06,059,0761.04,Middle,No,99.88,"$127,800","$127,647","$106,333",6189,66.02,4086,129,184
394,06,059,0761.05,Middle,No,85.34,"$127,800","$109,065","$90,855",4697,76.13,3576,791,1239
395,06,059,0762.01,Upper,No,131.41,"$127,800","$167,942","$139,896",7167,59.94,4296,1813,2463
396,06,059,0762.02,Middle,No,96.32,"$127,800","$123,097","$102,542",5959,61.39,3658,991,1821
397,06,059,0762.04,Moderate,No,61.94,"$127,800","$79,159","$65,938",5009,83.51,4183,285,679
398,06,059,0762.05,Middle,No,97.73,"$127,800","$124,899","$104,038",7297,54.64,3987,843,1433
399,06,059,0762.06,Middle,No,91.97,"$127,800","$117,538","$97,913",4606,49.78,2293,1270,1739
400,06,059,0762.08,Middle,No,102.76,"$127,800","$131,327","$109,399",5368,55.42,2975,1193,1534
401,06,059,0863.01,Moderate,No,79.65,"$127,800","$101,793","$84,792",7486,86.07,6443,1065,1526
402,06,059,0863.03,Middle,No,86.44,"$127,800","$110,470","$92,024",11758,70.99,8347,926,1197
403,06,059,0863.04,Moderate,No,74.87,"$127,800","$95,684","$79,708",5009,74.75,3744,528,744
404,06,059,0863.05,Middle,No,100.25,"$127,800","$128,120","$106,724",4015,70.41,2827,970,1177
405,06,059,0863.06,Moderate,No,74.97,"$127,800","$95,812","$79,814",3975,78.44,3118,557,769
406,06,059,0864.02,Middle,No,97.46,"$127,800","$124,554","$103,750",5503,84.50,4650,1061,1373
